sort,filename,caption_en,caption_zh,latitude,longitude,electoral_code,dc_winner,percentage_democracy
56,056.jpg,"Kwai Chung Estate South, Kwai Tsing District","葵涌邨南，葵青區",22.367,114.129,S-06,democracy,55.60
57,057.jpg,"Wu Kai Sha, Sha Tin District","烏溪沙，沙田區",22.432,114.242,R-29,democracy,64.14
58,058.jpg,"Yau Ma Tei South, Yau Tsim Mong District","油麻地南，油尖旺區",22.311,114.166,E-04,democracy,55.10
59,059.jpg,"Fu Cheong, Sham Shui Po District","富昌，深水埗區",22.33,114.155,F-09,democracy,51.10
60,060.jpg,"Lok Wah South, Kwun Tong District","樂華南，觀塘區",22.32,114.222,J-34,democracy,50.73
61,061.jpg,"Lei Muk Shue East, Tsuen Wan District","梨木樹東，荃灣區",22.374,114.134,K-19,democracy,68.11
62,062.jpg,"Yuet Wah, Kwun Tong District","月華，觀塘區",22.314,114.227,J-32,democracy,53.73
63,063.jpg,"Lung Ping & Sheung Pak Tin, Sham Shui Po District","龍坪及上白田，深水埗區",22.343,114.161,F-22,democracy,70.58
64,064.jpg,"Yau Tong West, Kwun Tong District","油塘西，觀塘區",22.301,114.23,J-26,establishment,47.89
65,065.jpg,"Lai Kok, Sham Shui Po District","麗閣，深水埗區",22.332,114.158,F-10,democracy,54.07
66,066.jpg,"San Hui, Tuen Mun District","新墟，屯門區",22.4,113.998,L-11,democracy,60.49
67,067.jpg,"Choi Hung, Wong Tai Sin District","彩虹，黃大仙區",22.336,114.206,H-25,democracy,50.60
68,068.jpg,"Fu Yan, Yuen Long District","富恩，元朗區",22.465,113.998,M-30,democracy,54.87
69,069.jpg,"Kam Ying, Sha Tin District","錦英，沙田區",22.42,114.234,R-32,democracy,59.39
70,070.jpg,"Po Lai, Sham Shui Po District","寶麗，深水埗區",22.336,114.158,F-01,democracy,63.96
71,071.jpg,"On Ho, Kwai Tsing District","安灝，葵青區",22.361,114.107,S-21,democracy,59.57
72,072.jpg,"Mong Kok West, Yau Tsim Mong District","旺角西，油尖旺區",22.317,114.168,E-06,establishment,45.95
73,073.jpg,"Shek Lei North, Kwai Tsing District","石籬北，葵青區",22.366,114.14,S-12,democracy,62.36
74,074.jpg,"Butterfly, Tuen Mun District","蝴蝶，屯門區",22.376,113.963,L-18,democracy,60.37
75,075.jpg,"Sheung Shui Rural, North District","上水鄉郊，北區",22.502,114.102,N-11,establishment,43.44
76,076.jpg,"Fei Tsui, Eastern District","翡翠，東區",22.263,114.223,C-14,democracy,56.70
77,077.jpg,"Kai Yip, Kwun Tong District","啟業，觀塘區",22.328,114.21,J-03,democracy,53.88
78,078.jpg,"Kai Tak Central & South, Kowloon City District","啟德中及南，九龍城區",22.325,114.197,G-14,establishment,46.48
79,079.jpg,"Wong Uk, Sha Tin District","王屋，沙田區",22.382,114.199,R-06,democracy,66.72
80,080.jpg,"Mei Foo South, Sham Shui Po District","美孚南，深水埗區",22.334,114.142,F-15,democracy,56.33
81,081.jpg,"Hiu Lai, Kwun Tong District","曉麗，觀塘區",22.32,114.229,J-30,democracy,60.02
82,082.jpg,"Tai Nan, Sham Shui Po District","大南，油尖旺區",22.325,114.166,E-12,democracy,58.32
83,083.jpg,"Ap Lei Chau North, Southern District","鴨脷洲北，南區",22.244,114.156,D-03,democracy,61.73
84,084.jpg,"Pat Heung North, Yuen Long District","八鄉北，元朗區",22.451,114.096,M-38,establishment,33.91
85,085.jpg,"Mid Levels East, Central & Western District","半山東，中西區",22.279,114.154,A-02,democracy,57.28
86,086.jpg,"Pek Long, Yuen Long District","北朗，元朗區",22.451,114.024,M-08,democracy,62.91
87,087.jpg,"Mount Parker, Eastern District","柏架山，東區",22.27,114.21,C-15,establishment,48.32
88,088.jpg,"Hang Hau West, Sai Kung District","坑口西，西貢區",22.333,114.235,Q-05,democracy,59.78
89,089.jpg,"Tak Wah, Tsuen Wan District","德華，荃灣區",22.371,114.118,K-01,democracy,55.48
90,090.jpg,"Po Nga, Tai Po District","寶雅，大埔區",22.452,114.157,P-14,democracy,66.86
91,091.jpg,"Chung Pak, Yuen Long District","頌栢，元朗區",22.46,114.001,M-26,democracy,58.84
92,092.jpg,"Po Tat, Kwun Tong District","寶達，觀塘區",22.318,114.24,J-16,democracy,52.21
93,093.jpg,"Tsz Wan East, Wong Tai Sin District","慈雲東，黃大仙區",22.347,114.204,H-19,democracy,56.51
94,094.jpg,"Tai Fat Hau, Wan Chai District","大佛口，灣仔區",22.279,114.169,B-13,democracy,51.46
95,095.jpg,"Chuk Yuen South, Wong Tai Sin District","竹園南，黃大仙區",22.344,114.19,H-14,democracy,59.84
96,096.jpg,"Hong Lok Yuen, Tai Po District","康樂園，大埔區",22.473,114.177,P-17,democracy,57.72
97,097.jpg,"Tsuen Wan West, Tsuen Wan District","荃灣西，荃灣區",22.373,114.105,K-05,democracy,61.85
98,098.jpg,"Hanford, Tuen Mun District","恆福，屯門區",22.379,113.982,L-14,democracy,66.07
99,099.jpg,"Wah Lai, Kwai Tsing District","華麗，葵青區",22.354,114.135,S-16,democracy,52.01
100,100.jpg,"Whampoa West, Kowloon City District","黃埔西，九龍城區",22.303,114.187,G-20,democracy,61.84
101,101.jpg,"Tsz Yau, Yuen Long District","慈祐，元朗區",22.453,114.008,M-21,democracy,64.08
102,102.jpg,"Kwong Yuen, Sha Tin District","廣源，沙田區",22.381,114.215,R-41,democracy,57.74
103,103.jpg,"Wai Ying, Kwai Tsing District","偉盈，葵青區",22.357,114.106,S-22,democracy,59.88
104,104.jpg,"Sheung Lok, Kowloon City District","常樂，九龍城區",22.316,114.183,G-06,democracy,57.63
105,105.jpg,"Hip Hong, Kwun Tong District","協康，觀塘區",22.318,114.225,J-33,democracy,52.86
106,106.jpg,"Chi Fu, Southern District","置富，南區",22.259,114.14,D-12,democracy,61
107,107.jpg,"Lai King, Kwai Tsing District","荔景，葵青區",22.323,114.128,S-19,democracy,51.51
108,108.jpg,"Lam Tsuen Valley, Tai Po District","林村谷，大埔區",22.446,114.135,P-13,democracy,52.05
109,109.jpg,"Peak, Central & Western District","山頂，中西區",22.267,114.152,A-04,establishment,31.35
110,110.jpg,"Wan Po South, Sai Kung District","環保南，西貢區",22.285,114.268,Q-29,nonpartisan,47.23
111,111.jpg,"Sha Ta, North District","沙打，北區",22.509,114.224,N-16,establishment,41.63
112,112.jpg,"Fort Street, Eastern District","堡壘，東區",22.29,114.198,C-20,democracy,50.61
113,113.jpg,"King Yee, Eastern District","景怡，東區",22.26,114.254,C-12,democracy,57.14
114,114.jpg,"Causeway Bay, Wan Chai District","銅鑼灣，灣仔區",22.28,114.185,B-04,democracy,54.96
115,115.jpg,"Ma Tau Wai, Kowloon City District","馬頭圍，九龍城區",22.325,114.187,G-01,democracy,52.84
116,116.jpg,"Wah Fu South, Southern District","華富南，南區",22.251,114.135,D-09,democracy,55.74
117,117.jpg,"Allway, Tsuen Wan District","荃威，荃灣區",22.394,114.117,K-15,democracy,56.32
118,118.jpg,"Kwun Tong Central, Kwun Tong District","觀塘中心，觀塘區",22.313,114.219,J-01,democracy,56.05
119,119.jpg,"Oi Kwan, Wan Chai District","愛羣，灣仔區",22.278,114.178,B-02,democracy,57.45
120,120.jpg,"Oi Man, Kowloon City District","愛民，九龍城區",22.312,114.181,G-24,democracy,53.30
121,121.jpg,"Lok Wah North, Kwun Tong District","樂華北，觀塘區",22.321,114.221,J-35,democracy,60.73
122,122.jpg,"Sheung Tak, Sai Kung District","尚德，西貢區",22.311,114.258,Q-14,democracy,61.29
123,123.jpg,"Choi Kin, Sai Kung District","彩健，西貢區",22.307,114.254,Q-06,democracy,60.39
124,124.jpg,"Tsuen Wan Centre, Tsuen Wan District","荃灣中心，荃灣區",22.377,114.108,K-07,democracy,61.06
125,125.jpg,"Nam On, Sai Kung District","南安，西貢區",22.316,114.262,Q-26,democracy,67.92
126,126.jpg,"Sai Kung Islands, Sai Kung District","西貢離島，西貢區",22.392,114.343,Q-03,democracy,57.81
127,127.jpg,"Jardine’s Lookout, Wan Chai District","渣甸山，灣仔區",22.269,114.197,B-08,establishment,41.44
128,128.jpg,"Kowloon Tong, Kowloon City District","九龍塘，九龍城區",22.339,114.18,G-10,establishment,46.51
129,129.jpg,"Leung King, Tuen Mun District","良景，屯門區",22.407,113.963,L-23,democracy,61.87
130,130.jpg,"Tsim Sha Tsui West, Yau Tsim Mong District","尖沙咀西，油尖旺區",22.298,114.17,E-01,democracy,56.65
131,131.jpg,"Hong King, Sai Kung District","康景，西貢區",22.32,114.254,Q-16,democracy,65.36
132,132.jpg,"Centre Street, Central & Western District","正街，中西區",22.286,114.143,A-14,democracy,58.90
133,133.jpg,"Prime View, Tuen Mun District","景峯，屯門區",22.408,113.981,L-31,democracy,67.63
134,134.jpg,"Tai Kok Tsui South, Yau Tsim Mong District","大角咀南，油尖旺區",22.321,114.163,E-10,democracy,56
135,135.jpg,"So Kwun Wat, Tuen Mun District","掃管笏，屯門區",22.378,114.005,L-12,democracy,53.23
136,136.jpg,"Braemar Hill, Eastern District","寶馬山，東區",22.282,114.2,C-16,establishment,44.77
137,137.jpg,"Tai Wo, Tai Po District","太和，大埔區",22.452,114.162,P-15,democracy,58.56
138,138.jpg,"Ching On, Wong Tai Sin District","正安，黃大仙區",22.353,114.212,H-18,democracy,69.41
139,139.jpg,"Tin Sum, Sha Tin District","田心，沙田區",22.369,114.18,R-18,democracy,52.48
140,140.jpg,"Sha Tin Town Centre, Sha Tin District","沙田市中心，沙田區",22.378,114.186,R-01,democracy,67.98
141,141.jpg,"Mong Kok South, Yau Tsim Mong District","旺角南，油尖旺區",22.319,114.171,E-15,democracy,53.09
142,142.jpg,"Kwai Shing East Estate, Kwai Tsing District","葵盛東邨，葵青區",22.364,114.127,S-03,democracy,62.63
143,143.jpg,"Jat Chuen, Sha Tin District","乙泉，沙田區",22.371,114.193,R-10,democracy,66.39
144,144.jpg,"Wang Yat, Yuen Long District","宏逸，元朗區",22.47,114.005,M-33,democracy,62.16
145,145.jpg,"Nam Cheong West, Sham Shui Po District","南昌西，深水埗區",22.327,114.159,F-08,democracy,63.27
146,146.jpg,"Broadwood, Wan Chai District","樂活，灣仔區",22.272,114.187,B-09,establishment,47.08
147,147.jpg,"Kwong Ming, Sai Kung District","廣明，西貢區",22.313,114.257,Q-15,democracy,56.80
148,148.jpg,"On Lee, Kwun Tong District","安利，觀塘區",22.329,114.227,J-10,democracy,57.69
149,149.jpg,"Tin Ping East, North District","天平東，北區",22.504,114.141,N-17,democracy,63.07
150,150.jpg,"Cheung Sha Wan, Sham Shui Po District","長沙灣，深水埗區",22.335,114.161,F-02,democracy,61.04
151,151.jpg,"Kornhill, Eastern District","康怡，東區",22.282,114.216,C-26,democracy,59.12
152,152.jpg,"Nam Cheong South, Sham Shui Po District","南昌南，深水埗區",22.328,114.165,F-06,democracy,57.37
153,153.jpg,"Clague Garden, Tsuen Wan District","祈德尊，荃灣區",22.371,114.111,K-06,democracy,50.61
154,154.jpg,"Mun Yat, Islands District","滿逸，離島區",22.281,113.936,T-02,democracy,67.62
155,155.jpg,"Fung Tak, Wong Tai Sin District","鳳德，黃大仙區",22.344,114.201,H-05,democracy,56.13
156,156.jpg,"On Tat, Kwun Tong District","安達，觀塘區",22.32,114.236,J-14,establishment,40.06
157,157.jpg,"Shek Kip Mei, Sham Shui Po District","石硤尾，深水埗區",22.333,114.166,F-04,democracy,50.08
158,158.jpg,"Lamma & Po Toi, Islands District","南丫及蒲台，離島區",22.194,114.131,T-09,establishment,49.22
159,159.jpg,"Sui Wo, Sha Tin District","穗禾，沙田區",22.397,114.181,R-22,democracy,58.47
160,160.jpg,"On Tai, Sha Tin District","鞍泰，沙田區",22.409,114.221,R-36,democracy,58.57
161,161.jpg,"Wah Fu North, Southern District","華富北，南區",22.254,114.137,D-10,democracy,61.32
162,162.jpg,"Di Yee, Sha Tin District","帝怡，沙田區",22.387,114.207,R-38,establishment,56.48
163,163.jpg,"Choi Wan South, Wong Tai Sin District","彩雲南，黃大仙區",22.334,114.217,H-22,democracy,58.01
164,164.jpg,"Wah Kwai, Southern District","華貴，南區",22.25,114.138,D-08,democracy,59.34
165,165.jpg,"Tsing Yi South, Kwai Tsing District","青衣南，葵青區",22.34,114.1,S-28,democracy,54.46
166,166.jpg,"Kin Sang, Tuen Mun District","建生，屯門區",22.407,113.969,L-26,democracy,60.44
167,167.jpg,"Sheung Wan, Central & Western District","上環，中西區",22.288,114.148,A-12,democracy,68.15
168,168.jpg,"Yan Tin, Tuen Mun District","欣田，屯門區",22.417,113.975,L-28,establishment,39.86
